description,class,class_reason,tool,is_invasive,tool_reason,is_invasive_reason,,,,
SHUNT STUDY,Whole-body/Polytrauma,A shunt study uses imaging to evaluate cerebrospinal fluid shunt function.,X‑ray,No,"X‑ray images of the head, chest, and abdomen assess the shunt tubingfile:///home/oai/redirect.html#:~:text=Overview.",The examination involves taking x‑ray images and is non‑invasivefile:///home/oai/redirect.html#:~:text=Overview.,,,,
SINUSES 1-2 VIEWS,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
STENT GRAPH FOR ILIAC ANURYSM,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Angiography,Yes,,,,,,
THY NODULE CLINIC BX,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
THYROID SCAN: TECHNETIUM,Neck,The description involves imaging of the neck or cervical region.,Nuclear Medicine,No,,,,,,
THYROID UPTAKE,Neck,The description involves imaging of the neck or cervical region.,X-ray,No,,,,,,
TX SUPERFICIAL WND DEHISENCE,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
UNCLOG G/GJ TUBE,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
VENOUS CATH FOR SEL ORGAN BLOOD SAMPLING,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,Yes,,,,,,
"WIRE LOCALIZATION, LUNG",Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No,,,,,,
' FILM ORTHO AP LOWER EXT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
-50 BILAT INJ CHOLANG EXIST PERC/TUBE,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
2ND ORDER THOR/BRACHIOCEPHALIC,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
"A-GRAM CAROTID/CERVICAL, UNILAT",Neck,The description involves imaging of the neck or cervical region.,Angiography,No,,,,,,
ADD'L 2ND/3RD OR> THOR/BRACHIOCEPHALIC,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
ADULT HEAD US,Head,The description involves imaging of the head or skull.,X-ray,No,,,,,,
ANGIOGRAPHY ARTERIO SHUNT,Vascular,The description involves imaging of blood vessels or vascular structures.,Angiography,Yes,,,,,,
"AORTOGRAPHY, ABDOMINAL",Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
ART DUP EXT UP UNI LMTD,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
ARTERIAL CATH FOR SAMPLING OR MONITORING,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Angiography,Yes,,,,,,
B 47505-50 BILAT INJ CHOLANG EXIST PERC/TUBE BILAT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
B ANKLE/FOOT (AP & LAT) SOFT TISSUE BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
B EMERG BILAT LOWER EXT VEINS BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
B FEMUR (AP & LAT) SOFT TISSUE BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
"B FOOT AP, LAT & HINDFOOT STANDING BILAT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
B KNEE (MIN 4 VIEWS) BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
B MR CALF W/O CONTRAST BILAT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,MRI,No,,,,,,
B MR SHOULDER W/O CONTRAST BILAT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No,,,,,,
B WRIST (AP & LAT) SOFT TISSUE BILAT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
"BABYGRAM UPPER EXT,MIN 2 VIEWS",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
BO LOWER EXTREMITY FLUORO WITHOUT RADIOLOGIST BILAT IN O.R.,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
"BO WRIST, AP & LAT VIEWS BILAT IN O.R.",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
BP CHEST U.S. BILAT PORT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",Ultrasound,No,,,,,,
"BP ELBOW, AP & LAT VIEWS BILAT PORT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
"BP HAND, AP & LAT. VIEWS BILAT PORT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
BP PELVIS WITH JUDET VIEWS BILAT PORT,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No,,,,,,
BP SHOULDER 1 VIEW BILAT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
BP TIB/FIB (AP & LAT) SOFT TISSUE BILAT PORT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
BP WRIST (AP & LAT) SOFT TISSUE BILAT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
BX LIVER,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
"C-SPINE, NON-TRAUMA (WITH FLEX, EXT & OBLS)",Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
CAROTID SERIES LMTD,Neck,The description involves imaging of the neck or cervical region.,X-ray,No,,,,,,
CERVICOCERBRAL,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
CONSULT READING MAMMOGRAPHY ONLY,Breast,The description involves imaging of the breasts.,Mammography,No,,,,,,
CT ABD PARACENTESIS W/IMAGING,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,Yes,,,,,,
CT ABD W&W/O C & RECONSTRUCTION,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No,,,,,,
CT ABD W/CONT + RECONSTRUCTION,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No,,,,,,
"CT ABD/PEL W/OC, COLON TECHNIQUE",Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No,,,,,,
CT AIRWAY W/C & W/RECONS,Chest,CT airway evaluates the trachea and bronchi using cross-sectional imaging with contrast and reconstructions,CT,No,CT uses x-rays to create detailed images,CT scanning is non-invasive,,,,
CT CARDIAC STRUCTURE/MORPH W/CTA W/O QUANTITATIVE CALCIUM,Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,CT,No,,,,,,
CT COLONOSCOPY W/O CONTRAST,Abdomen,CT colonography uses gas insufflation and rectal tube even without IV contrast,CT,Yes,CT imaging obtains images of the colon,Placement of rectal tube and insufflation is invasive,,,,
CT DRAIN BILIARY INT/EXT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,Yes,,,,,,
CT GUIDANCE FOR BX,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,Yes,,,,,,
CT STEREOTAXIS CHEST W/ CONTRAST,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",CT,No,,,,,,
CT TRACHEA,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No,,,,,,
CT UP LIMB W/O C & RECONS,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No,,,,,,
CYBER-INS MARKER MEDIASTINUM,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
CYBER-INS MARKER SOFT TISSUE/MSK,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
CYBER-INS MARKER SPINE,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
"DECLOT, THROM AG IMPLT VAS DEV",Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
ED STROKE HEAD CT W/O CONTRAST,Head,The description involves imaging of the head or skull.,CT,No,,,,,,
ENDO STENT GRAFT THORACIC ANEURYSM W/O SUBCLVN,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Angiography,Yes,,,,,,
ENDOVAS ABD REP W/MOD BIF PROS,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
ERCP PANCREAS ONLY BY GI UNIT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
EXCH CENTRAL TUNNELED W/PORT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
EXCHANGE DRAIN CATH,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Interventional Procedure,Yes,,,,,,
EXT CAROTID UNILAT,Neck,The description involves imaging of the neck or cervical region.,X-ray,No,,,,,,
EXTRA CHARGE,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
EXTREM BILAT VENOGRAPHY,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
FETAL BPP W/O MEASUREMENT,Obstetric,The description relates to pregnancy or fetal imaging.,X-ray,No,,,,,,
FETAL CARDIAC LIMITED,Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,X-ray,No,,,,,,
FITULOGRAM/SINOGRAM W/DR.J. FISCHER,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
FLUORO GUID NEEDLE PLCT SPINE/PARASPINOUS (KEEL),Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",CT,Yes,,,,,,
FLUORO GUIDANCE FOR NEEDLE PLACEMENT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Interventional Procedure,Yes,,,,,,
"FNA BRSEAST, THYROID OR PROSTATE",Neck,The description involves imaging of the neck or cervical region.,X-ray,No,,,,,,
"FNA, BREAST",Breast,The description involves imaging of the breasts.,X-ray,No,,,,,,
GALLBLADDER SCAN WITH EF,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
GI COLON BALLOON DILATATION W/W/O STENT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Angiography,Yes,,,,,,
GUIDANCE FOR SONOHYSTERO,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Ultrasound,Yes,,,,,,
INJ SCLEROSISNG HEMORRHOIDS,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
"INJ/ASP JT (KNEE, SHLD,HIP)",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
INT/ND/CATH DIALSHT ADD ACSS,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Angiography,Yes,,,,,,
INT/SHTH NOT/GUID EP NON-LASER,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,Yes,,,,,,
INTRALUMINAL DILATION STRICTURE,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No,,,,,,
INTRO CATH AORTA,Vascular,The description involves imaging of blood vessels or vascular structures.,Angiography,Yes,,,,,,
INTRO CATH OR STENT TO URETHER,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Angiography,Yes,,,,,,
IV CONSCIOUTIOUS SEDATION PRO FEE ONLY,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Ultrasound,No,,,,,,
IVP NO TOMO,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
KAUFMAN MAMMO NEEDLE LOCALIZATION,Breast,The description involves imaging of the breasts.,Mammography,Yes,,,,,,
L 93990 AVF/DUPLEX HEMO/DIAL ACCESS LEFT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
"L ARTHROGRAM,SHOULDER LEFT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
L BX-NEEDLE KIDNEY BY NEPHROLOGIST LEFT,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Interventional Procedure,Yes,,,,,,
L CT INJ/ASP MAJOR JOINT LEFT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No,,,,,,
L CT LOWER LIMB W/ CONTRAST LEFT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No,,,,,,
L CT SHOULDER ARTHROGRAM LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,CT,No,,,,,,
L GLENO-HUMERAL SHOULDER (W/O Y VIEW) LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
L HAND FILM IN OR LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
L INJ/ASO MAJOR JT W/FLUORO LEFT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
L KNEE (PORTABLE) LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
"L MAMMARY DUCTOGRAM,SINGLE DUCT LEFT",Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No,,,,,,
"L MR KNEE W/O C, LEX LEFT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,No,,,,,,
L MR LEG ANGIOGRAM LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,Yes,,,,,,
L MR SHOULDER W/ARTHROGRAM LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No,,,,,,
L MR WRIST W&W/O CONTRAST LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No,,,,,,
L MRA UPER EXT LEFT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,MRI,No,,,,,,
L MRHAND W/O&W/CONTRAST LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
LO FOOT 1 VIEW LEFT IN O.R.,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
LOOPOGRAM,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
"LP ANKLE (AP, LAT & OBLIQUE) LEFT PORT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
LP EMERG. LOWER EXT VEINS LEFT PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
LP FOOT 1 VIEW LEFT PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
LP GLENO-HUMERAL SHOULDER (W/ Y VIEW) LEFT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
LP TIB/FIB (AP & LAT) SOFT TISSUE LEFT PORT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
LP WRIST (AP & LAT) SOFT TISSUE LEFT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
MANOMETRICS VIA NEPHROSTOMY/PYLOSTOMY,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
MR ABDOMEN W/ CONTRAST,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,MRI,No,,,,,,
"MR ANGIOGRAM NECK, W/O & W/CONTRAST",Neck,The description involves imaging of the neck or cervical region.,MRI,Yes,,,,,,
MR ANKLE W/O CONTRAST,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,No,,,,,,
MR CARDIAC W/FLOW/VEL/STRESS P/P CONTRAST,Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,MRI,No,,,,,,
MR CARDIAC W/STRESS P/P CONTRAST,Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,MRI,No,,,,,,
MR GYN PELVIS  W & W/O CONTRAST,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,MRI,No,,,,,,
MR HEAD W&W/OC FOR PTS W/ DBS,Head,The description involves imaging of the head or skull.,MRI,No,,,,,,
MR KIDNEY W &W/O CONTRAST,Genitourinary,The description involves imaging of the urinary or reproductive organs.,MRI,No,,,,,,
MR PELVIS W/ CONTRAST,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,MRI,No,,,,,,
MR PITUITARY,Irrelevant,The description does not correspond to a specific radiology anatomy test.,MRI,No,,,,,,
MR SHOULDER W/O CONTRAST,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No,,,,,,
MR SOFT TISSUE ENCK W/O CONTRAST,Irrelevant,The description does not correspond to a specific radiology anatomy test.,MRI,No,,,,,,
MR-ANGIO HEAD W/ CONTRAST,Head,The description involves imaging of the head or skull.,Angiography,Yes,,,,,,
MR-ANGIO NECK W & W/O CONTRAST,Neck,The description involves imaging of the neck or cervical region.,Angiography,Yes,,,,,,
MRA (CHEST & ABD) W&W/O CONTRAST,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",MRI,No,,,,,,
MRA CHEST W/C,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",MRI,No,,,,,,
MRA CHEST W/O C,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",MRI,No,,,,,,
MRA LIVER W&W/O CONTRAST,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,MRI,No,,,,,,
"MRA TOTAL AORTA (CHEST,ABD,PELVIS) W&W/O CONTRAST",Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",MRI,No,,,,,,
"MRI & MRA BRAIN, W/O CONTRAST",Neural,"The description mentions brain or neurological structures, so it is categorized as Neural.",MRI,No,,,,,,
MRI BREAST BILAT W/O C,Breast,The description involves imaging of the breasts.,MRI,No,,,,,,
MRI NASO PHARYNX/SKULL BASE,Irrelevant,The description does not correspond to a specific radiology anatomy test.,MRI,No,,,,,,
MRV ABDOMEN W&W/O CONTRAST,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
MRV NECK W/O CONTRAST,Neck,The description involves imaging of the neck or cervical region.,X-ray,No,,,,,,
MRV PELVIS W/O CONTRAST,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No,,,,,,
NECK WITH CONTRAST,Neck,The description involves imaging of the neck or cervical region.,X-ray,No,,,,,,
NLSA CT CHEST WITHOUT CONTRAST,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",CT,No,,,,,,
NON-CONTRAST IFIR RENAL ANGIO MRI,Genitourinary,The description involves imaging of the urinary or reproductive organs.,MRI,Yes,,,,,,
NON-IONIC 50 CC,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
O ACUTE ABD SERIES (2-3 VIEWS OF ABD & SGL CHEST VIEW) IN O.R.,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No,,,,,,
"O C-SPINE NON-TRAUMA W/OBLS, FLEX &EXT 5 VIEWS IN O.R.",Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
O ENTIRE SPINE (AP & LAT ONLY) IN O.R.,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
O FACIAL BONE (WATERS & LAT) IN O.R.,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
O PELVIS & SACRO-ILIAC IN O.R.,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No,,,,,,
O SINUSES 1-2 VIEWS IN O.R.,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
"O SPINE, SINGLE FILM IN O.R.",Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
OB F/U W/O MEASUREMENTS,Obstetric,The description relates to pregnancy or fetal imaging.,X-ray,No,,,,,,
OB FEMUR (AP & LAT) IN O.R. BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
OB FOREARM (AP & LAT) IN O.R. BILAT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
"OL ANKLE (AP, MORTISE & LAT) IN O.R. LEFT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
OL ANKLE 1 VIEW IN O.R. LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
"OL ELBOW (AP, LAT & OBLIQUE) IN O.R. LEFT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
"OL HAND, AP & LAT. VIEWS IN O.R. LEFT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
OL HIP 1 VIEW IN O.R. LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
"OL KNEE (AP, LAT & OBLIQUE) IN O.R. LEFT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
OL KNEE (PORTABLE) IN O.R. LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
OL SHOULDER 2-3 VIEWS NON TRAUMA IN O.R. LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
"OL WRIST, AP & LAT VIEWS IN O.R. LEFT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
OLO FEMUR (AP & LAT) IN O.R. LEFT IN O.R.,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
OLO WRIST(3 + VIEWS) IN O.R. LEFT IN O.R.,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
"OO C-SPINE, TRAUMA IN O.R. IN O.R.",Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
OO HIP 1 VIEW IN O.R. IN O.R.,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
OOR FEMUR (AP & LAT) IN O.R. IN O.R. RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
OP C-SPINE NON-TRAUMA 2-3 VIEWS IN O.R. PORT,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
OP HIP UNILAT MIN 2 VIEWS IN O.R. PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
"OP PELVIS (AP, INLET & OUTLET) IN O.R. PORT",Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No,,,,,,
OPR KNEE (2 VIEWS) IN O.R. PORT RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
OPR LOWER EXTREMITY FLUORO WITHOUT RADIOLOGIST IN O.R. PORT RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
OPR TIB/FIB (AP & LAT) IN O.R. PORT RIGHT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
"OR ELBOW, AP & LAT VIEWS IN O.R. RIGHT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
OR HIP 1 VIEW IN O.R. RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
OR SHOULDER 2-3 VIEWS NON TRAUMA IN O.R. RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
ORO TIB/FIB (AP & LAT) IN O.R. RIGHT IN O.R.,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
"OTHER SERVICE,DEPT,UNIT",Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
P BILAT BREAST US PORT,Breast,The description involves imaging of the breasts.,Ultrasound,No,,,,,,
P C-SPINE (SINGLE VIEW ONLY) PORT,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
"P CYSTOGRAM (51600, 74430) PORT",Genitourinary,The description involves imaging of the urinary or reproductive organs.,X-ray,No,,,,,,
P EARLY OB US <14WEEKS PORT,Obstetric,The description relates to pregnancy or fetal imaging.,Ultrasound,No,,,,,,
P HIP UNILAT MIN 2 VIEWS PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
P KUB FOR COLONIC TRANSIT PORT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
"P LUMBAR SP,SINGLE FILM PORT",Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
P PARACENTESIS DIAG/THERAP W IMAGING GUID PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,Yes,,,,,,
P PELVIS (AP & LAT) PORT,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No,,,,,,
"P PELVIS (AP, INLET & OUTLET) PORT",Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No,,,,,,
P PELVIS W/JUDET VIEWS (3V) PORT,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No,,,,,,
P PERITONEAL ABSCESS DRAINAGE US PORT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Ultrasound,Yes,,,,,,
P PROSTATE U.S. PORT,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Ultrasound,No,,,,,,
P RETROPERITONEAL US PORT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Ultrasound,No,,,,,,
"P RIB BILAT, W/AP CHEST PORT",Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No,,,,,,
P SACRUM/COCCYX PORT,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
"P SINUSES, COMPLETE MIN 3 VIEWS PORT",Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
P STERNUM PORT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
P T-TUBE CHOLANGIO (POST-OP) PORT,Vascular,The description involves imaging of blood vessels or vascular structures.,Angiography,Yes,,,,,,
P US HEMATOMA SUBCUT DRAIN INCISION PORT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Ultrasound,Yes,,,,,,
P US INTR-OP 90 MINS PORT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Ultrasound,No,,,,,,
PB ABDOMEN (LAT DECUB ONLY) PORT BILAT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
PB FOOT 2 VIEWS PORT BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
PERC REMOVAL/SNARE/CAPTURE INT.DWELLING URETERAL STENT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Angiography,Yes,,,,,,
PERC TX EXTREMITY PSA,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
PL FOOT 2 VIEWS PORT LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
"PL HAND (AP, LAT & OBLIQUE) PORT LEFT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
PL US EXTREMITY NONVASCULAR PORT LEFT,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No,,,,,,
