description,class,class_reason,tool,is_invasive
R LOWER EXTREMITY FLUORO RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
R MR ARM W/O CONTRAST RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No
R MR ELBOW W/O CONTRAST RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No
R MR HAND W/O CONTRAST RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No
R MR HIP W/CONTRAST RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,No
R MR SHOULDER W/ARTHROGRAM RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No
R MRA UPER EXT RIGHT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,MRI,No
R NAVICULAR (SCAPHOID) VIEW ONLY RIGHT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
R STEREOTACTIC MAMMO CORE BIOPSY RIGHT,Breast,The description involves imaging of the breasts.,CT,Yes
R UNILAT POST PROCEDURE MAMMOGRAM RIGHT,Breast,The description involves imaging of the breasts.,Mammography,No
R US MSK ANKLE RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,Ultrasound,No
R US MSK SHOULDER RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No
R WRIST (AP & LAT) SOFT TISSUE RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
REMOVE CVA OBSTRUCT S&I,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No
"REPEAT PERC MECH THROMBECTOMY/LYTIC INJ, VENOUS",Vascular,The description involves imaging of blood vessels or vascular structures.,CT,No
RETROGRADE URETHROCYSTOGRAM,Genitourinary,The description involves imaging of the urinary or reproductive organs.,X-ray,No
REVISION TRANSHEP TUBE IN OR NO TECH FEE,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
ROP HIP UNILAT MIN 2 VIEWS RIGHT IN O.R. PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
RP EMERG. LOWER EXT VEINS RIGHT PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
RP FOREARM (AP & LAT) SOFT TISSUE RIGHT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
RP PLEURAL ASP BY RADIOLOGIST RIGHT PORT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,Yes
RP RENAL TRANSPLANT U.S. RIGHT PORT,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Ultrasound,No
RP SCAPULA RIGHT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
"RP TOE(S), 2+ VIEW RIGHT PORT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
RP UNILAT BREAST US RIGHT PORT,Breast,The description involves imaging of the breasts.,Ultrasound,No
SACRO-ILIAC JTS (AXIAL & BILAT OBLS),Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
SECONDARY THROMBECTOMY W/OTHER PERC PROCEDURE,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No
SEL CATH SEGMENTAL/SUBSEG PUL ARTERY,Vascular,The description involves imaging of blood vessels or vascular structures.,Angiography,Yes
SELLA TURCICA (2 VIEWS),Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
"SINUSES (WATERS, CALDWELL & LAT)",Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
SPINAL SEL A-GRAM,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Angiography,No
STERNO-CLAVICULAR JOINTS,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
T PLACT STENT EXTRACRAINAL/VERTIBRAL ART,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,Yes
THORACIC ANGIO,Vascular,The description involves imaging of blood vessels or vascular structures.,Angiography,Yes
THY BX GUID-RADIOLOGIST,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,Yes
THYROGEN I-123 TOTAL BODY SCAN,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
TRANSCATHETER INFUSION,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Angiography,Yes
TRANSCATHETER RETRIEVAL INTRAVASCULAR FB,Vascular,The description involves imaging of blood vessels or vascular structures.,Angiography,Yes
TUNNELED CENTRAL OR PICC W/PORT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
TV OB US,Obstetric,The description relates to pregnancy or fetal imaging.,X-ray,No
UPPER EXTREMITY FLUORO WITHOUT RADIOLOGIST,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
"US ABDOMINAL WALL, SOFT TISSUE",Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Ultrasound,No
US BREAST DRAIN W OR W/O CATHETER,Breast,The description involves imaging of the breasts.,Ultrasound,Yes
US MSK ELBOW,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No
"US UPPER EXTREMITY, SOFT TISSUE",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No
VESSEL MAP PRE-OP HEMOD ACCESS,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
VIRTUAL SCREENING COLONOSCOPY,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
ABD A-GRAM,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Angiography,No
ABDOMEN (LAT DECUB ONLY),Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
ADRENAL UNILAT SEL A-GRAM,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Angiography,No
ANAL ULTRASOUND,Pelvis,Anal ultrasound images the anal canal and pelvic structures,Ultrasound,No
"ANGIO, CAROTID.CEREBRAL UNILAT",Neural,"The description mentions brain or neurological structures, so it is categorized as Neural.",Angiography,Yes
ANIOPLASTY EA ADD'LL PERIPHERAL,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
ARCHER MAMMO NEEDLE LOCALIZATION,Breast,The description involves imaging of the breasts.,Mammography,Yes
ASP OF RENAL CYST (S&I),Genitourinary,The description involves imaging of the urinary or reproductive organs.,X-ray,No
ATHERECTOMY BRACHIOCEPHALIC,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No
ATHERECTOMY FEM/POP,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No
AV SHUNT AGRAM S&I,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
B 36245-50 BILAT CATH 1ST ORD ABD/PEL/LWR BILAT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Angiography,Yes
B 47511-50 BILAT PRC T/H STNT I/E BIL DRN BILAT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
B 47525-50 BILAT CHNG PERC BIL DRAIN CATH BILAT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Angiography,Yes
B 50390-50 BILAT PERC ASP/INJ RENAL BY NEEDLE BILAT,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Interventional Procedure,Yes
B 50394 INJ NEPHROSTOMY/PYLOSTOMY BILAT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
B BILAT DIAGNOSTIC MAMMOGRAM BILAT,Breast,The description involves imaging of the breasts.,Mammography,No
B BREAST CORE BIOSPY UNDER US BILAT,Breast,The description involves imaging of the breasts.,Ultrasound,No
B CHEST U.S. BILAT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",Ultrasound,No
B CHEST WALL U.S. SCAN BILAT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",Ultrasound,No
B CT LOWER LIMB W/O CONTRAST BILAT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No
B CT UP EXT W/C BILAT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No
B DIG DIAGNOSTIC MAMMO BILATERAL BILAT,Breast,The description involves imaging of the breasts.,Mammography,No
B FOOT 1 VIEW BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
B FOREARM (AP & LAT) SOFT TISSUE BILAT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
B HIP 1 VIEW BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
B HUMERUS (AP & LAT) SOFT TISSUE BILAT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No
B MR KNEE W/O CONTRAST BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,No
B MRA LEG W/O C BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,No
B NAVICULAR (SCAPHOID ONLY) 4 VIEWS BILAT,MSK Upper Limb,Multiple x-ray views of the scaphoid bones evaluate bone fractures,X-ray,No
B PELVIS WITH JUDET VIEWS BILAT,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No
"B RIB BILAT, W/AP CHEST BILAT",Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
"B RIB UNILAT, W/ AP CHEST BILAT",Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
B SCAPULA BILAT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
BABYGRAM CHEST DECUB ONLY (71035),Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
"BABYGRAM LOWER EXT,MIN 2 VIEWS",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
BABYGRAM LUMBAR&THORACIC AP/LAT,Obstetric,The description relates to pregnancy or fetal imaging.,X-ray,No
BB KNEE (3 VIEWS) BILAT BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
BIL LOW EXT VEIN/REFLUX STUDY (90 MIN),Vascular,The description involves imaging of blood vessels or vascular structures.,X-ray,No
BILIARY STONE REMOVAL,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
"BO ANKLE (AP, LAT & OBLIQUE) BILAT IN O.R.",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
"BO ANKLE (AP, MORTISE & LAT) BILAT IN O.R.",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
BO FEMUR (AP & LAT) SOFT TISSUE BILAT IN O.R.,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
"BO FINGER(S),2+VIEWS BILAT IN O.R.",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
"BOP ANKLE (AP, LAT & OBLIQUE) BILAT IN O.R. PORT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
"BP BILAT HIPS (AP,LAT & AP PELVIS) BILAT PORT",Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No
BP ELBOW (AP & LAT) SOFT TISSUE BILAT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
BP EMERG. LOWER EXT VEINS BILAT PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
BP FOREARM (AP & LAT) BILAT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
BP HUMERUS (AP & LAT) SOFT TISSUE BILAT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No
BP NAVICULAR (SCAPHOID ONLY) 4 VIEWS BILAT PORT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
BP PLEURAL ASP BY RADIOLOGIST BILAT PORT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,Yes
"BP TOE(S), 2+ VIEW BILAT PORT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
BP UNILAT LOWER EXT VEINS BILAT PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
BP US EXTREMITY NONVASCULAR BILAT PORT,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No
BP US MAJOR JOINT ASP./INJ. BILAT PORT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Ultrasound,No
"BP WRIST, AP & LAT VIEWS BILAT PORT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
"BX LIVER, PERCUTANEOUS",Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
BX PERCU LUNG/MEDIASTINUM,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
BX PROST BY UROLOGIST,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
C-SPINE CAROTID ON O.R. W/ CONTRAST,Neck,The description involves imaging of the neck or cervical region.,X-ray,No
C-SPINE OBLS ONLY 2 VIEWS,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
"C-SPINE, TRAUMA (WITH FLEX, EXT & OBLS)",Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
"C/OTHER COLONIC TUBE, ALL INCL.",Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
CARDIAC MORPHOLOGY W/CONTRAST,Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,X-ray,No
CARDIAC PERFUSION DOBUTAMINE,Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,X-ray,No
CARDIAC STRUCTURE/MORPHOLOGY IN CONGENITAL HEART DISEASE,Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,CT,No
CAROT/CEREB BI,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
CAROTID/CERVICAL/BILAT A-GRAM,Neck,The description involves imaging of the neck or cervical region.,Angiography,No
"CATHETER, THROMBOECTMY/EMBOECTMY",Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,Yes
CENTRAL TUNNELED W/PORT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
CHEMO ADM INTRATHECAL W/LP,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,Yes
"CHEST (CARDIAC PA,AP & LAT)",Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
CHEST (FRONT/LAT W/APICAL LORDOTIC),Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
CHEST PORTABLE LINE PLACMENT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
CLOSURE DEVICE VASC IMP/INS,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
COLON (DOUBLE CONTRAST BARIUM ENEMA),Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
CONSULT DIAGNOSTIC MAMMOGRAM,Breast,The description involves imaging of the breasts.,Mammography,No
CONSULT READING BILATERAL MAMMOGRAM ONLY,Breast,The description involves imaging of the breasts.,Mammography,No
CT ABD CHEMO EMBO,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,Yes
CT ABD&PELVIS W&W/O C COLON TECHNIQUE,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No
CT ABDOMEN AND PELVIS W/O CONTRAST W/ONC TABLES,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No
CT ABDOMEN W/O CONTRAST W/ONC TABLE,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No
CT AIRWAY W/O C WITH RECONS,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No
CT ALCOHOL LIVER ABLATION,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No
CT CHEST AND ABDOMEN W/O CONTRAST,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",CT,No
CT COLONOSCOPY W&W/O CONTRAST,Abdomen,CT colonography requires insertion of a rectal tube and gas insufflation to image the colon,CT,Yes
CT DENTASCAN MAX/MANDIBLE,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No
CT HEAD W/ ANESTHESIA W/ CONTRAST,Head,The description involves imaging of the head or skull.,CT,No
CT HEAD W/ ANESTHESIA W/O CONTRAST,Head,The description involves imaging of the head or skull.,CT,No
CT LOW EXT W&W/O C,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No
CT LOW EXT W/O C,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No
CT LOW WXT W/C,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No
CT LUNG/MED BX NON-RAD W/GUIDANCE,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",CT,Yes
CT MAX/MAND DENTA SCAN,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No
CT NECK W/CONTRAST W/ONC TABLES,Neck,The description involves imaging of the neck or cervical region.,CT,No
CT PELVIS ORTHO W/O CONTRAST W/3D,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,CT,No
CT PELVIS W/O CONTRAST W/ONC TABLES,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,CT,No
CT SINUS/MANDIBLE/MAXILLOFACIAL W & W/O CONTRAST,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No
CT SPINAL DRAINAGE,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,Yes
CT STEREOTAXIS ABDOMINAL W/CONTRAST,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No
CTU W& W/O CONTRAST,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No
CYBER US GUID-NEEDL PLMT MAR,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Ultrasound,Yes
CYBER-CT GUID MARKER NON-NEEDLE,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,Yes
"CYBER-CT GUID-NEEDL PLMT,MAR",Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,Yes
CYBER-FLUOR GUID NEEDLE PLMT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Interventional Procedure,Yes
CYBER-INS MARKER PANCREAS,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
CYBER-INS URINARY SYST,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
DECLOT W/THROMB AGNT IMPLT VAD/VAC,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
DISCONTINUED PROCEDURE AFTER ANESTHESIA,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
"ELBOW, AP & LAT VIEWS",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
EMERG. LOWER EXT VEINS,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
ENDO STENT GRAFT THORACIC ANEURYSM W/SUB,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Angiography,Yes
ENTEROCLYSIS,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
ERCP(SURG) (43260),Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
EXCHG INF CATH,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,Yes
F-18 BONE SCAN,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Nuclear Medicine,No
FEMUR (AP & LAT),MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
"FETAL REDUC, MULTI GESTATION",Obstetric,The description relates to pregnancy or fetal imaging.,X-ray,No
"FINGER(S),2+VIEWS",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
FISTUOGRAM/SINOGRAM W/DR. FISCHER,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
FLUOR GUID FOR SPINE INJ,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,Yes
FLUORO GUID FOR SPINE INJ,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,Yes
FLUORO S&I PERC VERTEBRO/KYPHOPLASTY,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
GUIDANCE FOR AMNIO-PERI,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,Yes
GUIDANCE FOR DRAINAGE/SPECIMEN COLLECTION,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,Yes
GUIDANCE FOR NEEDLE PLACEMENT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Interventional Procedure,Yes
HEPATIC VENOGRAM NO PRESSURES,Vascular,The description involves imaging of blood vessels or vascular structures.,Angiography,Yes
"INJ DISK, EA LEVEL LUMBAR",Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
INJ EPIDURAL BLOOD/CLOT PATCH,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
INJ PARAVERT F JNT C/T 1 LEV,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
INJ SCOLOSING AGENT IN LYMPHOCELE,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
INJ-VENO/PAC,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
INJEC PROC SIALOGRAPHY,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
INS CATH REN ART 1ST UNILAT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Angiography,Yes
INS CATH REN ART 2ND +UNILAT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Angiography,Yes
INTRAOPERTIVE US GUIDANCE,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Ultrasound,Yes
INTRAVAS STENT ADD'L VESSEL,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Angiography,Yes
"INTRODUCTION LONG GI TUBE, S&I",Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No
KUB FOR COLONIC TRANSIT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
"KYPHOPLASTY, THORACIC",Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
"KYPHOPLASTY, THORACIC NON-RAD",Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
L 75741 UNILAT PUL SEL ANGIOGRAPHY LEFT,Vascular,The description involves imaging of blood vessels or vascular structures.,Angiography,Yes
"L 75894 TRANS THERAPY, EMBO S&I LEFT",Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
L ART DUP LOW EXT LEFT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
L BREAST CYST ASPIRATION LEFT,Breast,The description involves imaging of the breasts.,Interventional Procedure,Yes
"L BX SUPERFISCAL CER,AXL OR ING LEFT",Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
L BX-NEEDLE KIDNEY BY RADIOLOGIST LEFT,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Interventional Procedure,Yes
L CHEST FLUORO WITHOUT RADIOLOGIST LEFT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
L CLIP PLACMENT FOLLOWING BREAST BX LEFT,Breast,The description involves imaging of the breasts.,X-ray,No
L CT LOW.EXT W/C +RECONSTRUCTION LEFT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No
L CT UP EXT W&W/O C LEFT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No
L CT UP EXT W/C +RECONSTRUCTION LEFT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No
L EMERG BILAT LOWER EXT VEINS LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
"L FNA BRSEAST, THYROID OR PROSTATE LEFT",Neck,The description involves imaging of the neck or cervical region.,X-ray,No
"L FNA, BREAST ONLY LEFT",Breast,The description involves imaging of the breasts.,X-ray,No
L HIP 1 VIEW LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
L LOWER EXT INFANT 2+ VIEWS LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
L LOWER EXT. VENOGRAM LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,Angiography,Yes
L MAMMOTOME CLIP PLACEMENT LEFT,Breast,The description involves imaging of the breasts.,Mammography,Yes
L MR ARM W&W/O CONTRAST LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No
L MR CALF W/CONTRAST LEFT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,MRI,No
"L MR FOOT W/O C, LEX LEFT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,No
L MR HAND W/O CONTRAST LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No
L MR HIP W/ ARTHROGRAM LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,No
L MR HIP W/CONTRAST LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,No
L MR LOWER EXT (NOT JT) W&W/O CONTRAST LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,No
L MR LOWER EXT-JOINT W/O CONTRAST LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,No
L MR UPPER XT-JT W/O CONTRAST LEFT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,MRI,No
L NEPHROSTOGRAM LEFT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
L PELVIS WITH JUDET VIEWS LEFT,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No
L THY BX BY MCARDLE LEFT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
L THYROID BIOPSY BY RADIOLOGIST LEFT,Neck,The description involves imaging of the neck or cervical region.,Interventional Procedure,Yes
L US BREAST BX WITH CLIP PLACEMENT LEFT,Breast,The description involves imaging of the breasts.,Ultrasound,Yes
L US CHEST WALL SOFT TISSUE LEFT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",Ultrasound,No
L US MSK ASPIRATE/INJ GANGLION CYST LEFT,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Ultrasound,No
L US MSK FOOT/TOE LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,Ultrasound,No
L US MSK HAND/FINGER LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No
"L US UPPER EXTREMITY, SOFT TISSUE LEFT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No
L WERTHEIMER MAMMO NEEDLE LOC LEFT,Breast,The description involves imaging of the breasts.,Mammography,Yes
LEVEEN SHUNT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
LIVER BLOOD POOL STUDY,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
LIVER/LUNG SCAN,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",Nuclear Medicine,No
LIVER/SPLEEN SCAN,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
LL UPPER EXTREM VEINS US LEFT LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No
LO ANKLE 1 VIEW LEFT IN O.R.,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
LO KNEE 2 VIEW PORTABLE LEFT IN O.R.,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
LO KNEE( (SINGLE VIEW) LEFT IN O.R.,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
